ADAR
B2M
BST2
CIITA
EIF2AK2
GBP2
GBP4
GBP6
HLA-A
HLA-B
HLA-C
HLA-G
IFI27
IFI30
IFI35
IFIT1
IFIT2
IFIT3
IFITM1
IFITM2
IFITM3
IFNAR1
IFNAR2
IFNB1
IRF1
IRF2
IRF3
IRF4
IRF5
IRF7
IRF8
IRF9
ISG15
ISG20
JAK1
JAK2
MX1
MX2
OAS1
OAS2
OAS3
OASL
PSMB8
PTPN1
PTPN11
PTPN2
PTPN6
RSAD2
SAMHD1
SOCS1
SOCS3
SP100
STAT1
STAT2
TRIM14
TRIM21
TRIM25
TRIM26
TRIM6
TYK2
USP18
XAF1
